                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0505,                 4.3837,                  1.816,                0.00455,                      1,                 0.0057,                0.00241,                 1.7627,                 4.3739,                  1.539,                 0.0928,                 0.0008,                 0.0008
                      1,                 1.7866,                 2.6325,                 1.6664,                0.49906,                      1,                0.76295,                  0.368,                 1.6351,                 3.0794,                 1.9398,               0.084658,              0.0016579,              0.0016579
                      2,                 1.6429,                 1.6045,                 1.5795,                0.73944,                      1,                  0.995,                0.56132,                 1.4518,                  1.455,                 1.7739,               0.076471,              0.0024713,              0.0024713
                      3,                 1.4969,                 1.5746,                 1.5502,                0.63298,                    0.8,                0.93354,                0.56349,                  1.381,                 2.0601,                 1.5926,                0.06824,              0.0032401,              0.0032401
                      4,                 1.4401,                 1.1546,                 1.4486,                0.97474,                      1,                  0.995,                0.55726,                 1.5049,                 1.0431,                 1.7388,               0.059964,              0.0039644,              0.0039644
                      5,                  1.384,                 0.9611,                 1.4394,                0.98633,                      1,                  0.995,                0.59461,                 1.4065,                0.91665,                 1.7524,               0.051644,              0.0046441,              0.0046441
                      6,                 1.4406,                0.96954,                  1.477,                0.96865,                      1,                  0.995,                0.57803,                 1.4951,                0.82377,                  1.882,               0.043279,              0.0052793,              0.0052793
                      7,                 1.3496,                 1.0877,                 1.4238,                0.74087,                      1,                0.97278,                0.63419,                 1.2544,                 1.3728,                 1.6161,                0.03487,              0.0058699,              0.0058699
                      8,                 1.3785,                0.93993,                 1.4396,                0.98334,                      1,                  0.995,                0.64234,                 1.4445,                0.72281,                 1.7324,               0.026416,               0.006416,               0.006416
                      9,                 1.3624,                0.85305,                 1.4326,                0.96219,                      1,                  0.995,                 0.6256,                 1.3364,                0.80297,                 1.6132,               0.017918,              0.0069175,              0.0069175
                     10,                 1.3483,                0.97714,                 1.3693,                0.75687,                0.97872,                  0.995,                0.60986,                 1.3749,                 1.0882,                 1.6183,              0.0093745,              0.0073745,              0.0073745
                     11,                 1.3139,                 1.0779,                 1.3428,                0.98619,                      1,                  0.995,                0.64186,                 1.3336,                0.79688,                 1.5666,              0.0072775,              0.0072775,              0.0072775
                     12,                 1.3741,                0.76174,                 1.3672,                0.99402,                      1,                  0.995,                 0.6389,                 1.3125,                 0.6701,                 1.4905,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.3443,                0.72843,                 1.2823,                0.97805,                      1,                  0.995,                 0.6624,                  1.251,                0.66881,                  1.453,                0.00703,                0.00703,                0.00703
                     14,                 1.2296,                0.87161,                 1.2925,                 0.9889,                      1,                  0.995,                0.63596,                 1.2883,                0.67563,                 1.5081,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.2481,                 0.6991,                 1.3006,                0.98465,                      1,                  0.995,                0.62967,                 1.3185,                0.91884,                  1.541,               0.006535,               0.006535,               0.006535
                     16,                 1.2771,                0.66856,                 1.2851,                 0.9854,                      1,                  0.995,                0.63425,                 1.3023,                0.73699,                 1.6473,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.2269,                0.67759,                  1.282,                0.98617,                      1,                  0.995,                0.62222,                 1.2816,                0.64475,                 1.6327,                0.00604,                0.00604,                0.00604
                     18,                 1.2264,                0.70864,                 1.3567,                0.98684,                      1,                  0.995,                0.62848,                 1.2481,                0.65022,                  1.575,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.2617,                0.72368,                 1.3716,                0.99456,                      1,                  0.995,                 0.6361,                 1.3291,                0.66397,                 1.6989,               0.005545,               0.005545,               0.005545
                     20,                 1.2333,                 0.6578,                 1.3155,                0.99319,                      1,                  0.995,                0.62014,                  1.398,                0.72959,                 1.8569,              0.0052975,              0.0052975,              0.0052975
                     21,                  1.194,                0.62769,                 1.3051,                0.99194,                      1,                  0.995,                0.64934,                 1.2751,                0.60021,                 1.6306,                0.00505,                0.00505,                0.00505
                     22,                 1.2062,                0.63193,                 1.3076,                0.98718,                      1,                  0.995,                0.64521,                 1.2347,                0.60117,                 1.5579,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.2633,                 0.6579,                 1.2962,                0.99364,                      1,                  0.995,                0.64715,                 1.2433,                0.59379,                 1.5512,               0.004555,               0.004555,               0.004555
                     24,                 1.2294,                 0.6662,                 1.3135,                0.99073,                      1,                  0.995,                0.66493,                  1.254,                0.55415,                 1.5684,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.2006,                0.61069,                 1.2452,                0.98919,                      1,                  0.995,                0.64407,                 1.2872,                0.54171,                 1.6141,                0.00406,                0.00406,                0.00406
                     26,                 1.1606,                0.60065,                  1.263,                0.99341,                      1,                  0.995,                0.70121,                 1.2242,                0.51629,                 1.5704,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.1924,                0.63027,                 1.2868,                0.99007,                      1,                  0.995,                0.68075,                 1.2784,                0.50631,                 1.5777,               0.003565,               0.003565,               0.003565
                     28,                 1.2264,                0.65194,                 1.2797,                0.99382,                      1,                  0.995,                0.64785,                 1.2918,                0.54054,                 1.6008,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.1884,                0.61051,                 1.2524,                0.99371,                      1,                  0.995,                0.66164,                 1.2517,                0.51985,                 1.5865,                0.00307,                0.00307,                0.00307
                     30,                 1.0724,                0.55535,                 1.3107,                0.99051,                      1,                  0.995,                0.67146,                 1.2104,                 0.5194,                 1.5215,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.0629,                0.54171,                 1.2914,                0.99245,                      1,                  0.995,                0.67209,                 1.1855,                0.50857,                 1.5234,               0.002575,               0.002575,               0.002575
                     32,                 1.0387,                0.50611,                 1.3206,                0.99261,                      1,                  0.995,                0.66153,                 1.2198,                0.49828,                 1.5525,              0.0023275,              0.0023275,              0.0023275
                     33,                 1.0388,                0.50809,                 1.2878,                0.98868,                      1,                  0.995,                0.66965,                 1.2366,                0.50283,                 1.5987,                0.00208,                0.00208,                0.00208
                     34,                  1.055,                0.51745,                  1.328,                0.99309,                      1,                  0.995,                0.67324,                 1.2193,                0.50839,                 1.6017,              0.0018325,              0.0018325,              0.0018325
                     35,                 1.0393,                0.51841,                 1.2711,                0.99115,                      1,                  0.995,                0.67246,                  1.154,                0.51521,                 1.5348,               0.001585,               0.001585,               0.001585
                     36,                  1.013,                0.49736,                  1.282,                 0.9926,                      1,                  0.995,                0.67588,                 1.1951,                0.50828,                  1.551,              0.0013375,              0.0013375,              0.0013375
                     37,                0.99482,                0.49473,                 1.2649,                0.99382,                      1,                  0.995,                0.67722,                 1.1892,                0.49783,                 1.5511,                0.00109,                0.00109,                0.00109
                     38,                 1.0061,                0.47188,                 1.2746,                0.99391,                      1,                  0.995,                0.68237,                 1.1955,                0.49544,                 1.5613,              0.0008425,              0.0008425,              0.0008425
                     39,                0.97818,                0.47355,                  1.237,                0.99259,                      1,                  0.995,                0.66533,                 1.2237,                0.51517,                 1.5951,               0.000595,               0.000595,               0.000595
